CustomerKey,CustomerID,CustomerName,CustomerType,PriorityLevel,Channel,FirstOrderDate,GeographyKey
1,CUST000001,Customer 1,B2C,Low,Direct,2023-10-15,11
2,CUST000002,Customer 2,B2C,Medium,Online,2022-09-02,12
3,CUST000003,Customer 3,B2B,Medium,Partner,2022-10-20,6
4,CUST000004,Customer 4,B2B,High,Retail,2023-07-08,4
5,CUST000005,Customer 5,B2B,Low,Retail,2023-01-28,2
6,CUST000006,Customer 6,B2C,Medium,Direct,2023-03-01,7
7,CUST000007,Customer 7,B2B,Medium,Direct,2022-03-05,13
8,CUST000008,Customer 8,B2B,Low,Direct,2023-08-22,8
9,CUST000009,Customer 9,B2C,Medium,Direct,2022-01-07,7
10,CUST000010,Customer 10,B2B,Medium,Retail,2023-07-06,5
11,CUST000011,Customer 11,B2C,High,Direct,2023-03-23,6
12,CUST000012,Customer 12,B2C,Low,Retail,2023-11-16,8
13,CUST000013,Customer 13,B2B,Medium,Online,2022-05-11,2
14,CUST000014,Customer 14,B2C,High,Direct,2023-10-21,3
15,CUST000015,Customer 15,B2C,Medium,Partner,2022-02-21,4
16,CUST000016,Customer 16,B2C,Medium,Direct,2023-04-11,5
17,CUST000017,Customer 17,B2C,High,Direct,2023-03-08,1
18,CUST000018,Customer 18,B2B,Medium,Retail,2023-07-07,11
19,CUST000019,Customer 19,B2B,High,Retail,2022-03-12,4
20,CUST000020,Customer 20,B2B,High,Retail,2022-01-21,8
21,CUST000021,Customer 21,B2B,Low,Retail,2023-11-17,8
22,CUST000022,Customer 22,B2C,Medium,Retail,2023-12-18,10
23,CUST000023,Customer 23,B2B,High,Partner,2023-09-14,2
24,CUST000024,Customer 24,B2B,Medium,Direct,2023-08-16,7
25,CUST000025,Customer 25,B2B,Low,Retail,2022-07-23,2
26,CUST000026,Customer 26,B2C,Low,Online,2023-12-15,13
27,CUST000027,Customer 27,B2B,Medium,Direct,2023-08-03,11
28,CUST000028,Customer 28,B2B,Low,Partner,2023-01-15,1
29,CUST000029,Customer 29,B2C,High,Direct,2023-03-07,6
30,CUST000030,Customer 30,B2C,Low,Retail,2023-10-13,7
31,CUST000031,Customer 31,B2C,Low,Direct,2022-06-30,8
32,CUST000032,Customer 32,B2C,Medium,Retail,2023-03-23,2
33,CUST000033,Customer 33,B2C,High,Direct,2022-10-13,10
34,CUST000034,Customer 34,B2C,Medium,Online,2023-09-17,8
35,CUST000035,Customer 35,B2B,Medium,Retail,2022-11-29,6
36,CUST000036,Customer 36,B2C,Medium,Partner,2022-09-22,9
37,CUST000037,Customer 37,B2B,High,Retail,2022-01-11,12
38,CUST000038,Customer 38,B2C,Low,Retail,2023-02-21,12
