ReturnKey,ReturnID,ReturnDateKey,ReturnDate,OrderKey,OrderID,CustomerKey,ProductKey,ReturnQuantity,ReturnAmount,ReturnReason,ReturnStatus
1,RET00000001,20240114,2024-01-14,94176,ORD00094176,1421,62,3,633.75,Quality Issues,Rejected
2,RET00000002,20220711,2022-07-11,64554,ORD00064554,3547,126,1,1052.17,Other,Processing
3,RET00000003,20220921,2022-09-21,47743,ORD00047743,870,99,1,873.53,Damaged in Transit,Pending
4,RET00000004,20230115,2023-01-15,14031,ORD00014031,1471,121,4,3022.92,Too Late,Pending
5,RET00000005,20240827,2024-08-27,64756,ORD00064756,4695,30,2,327.28,Quality Issues,Processing
6,RET00000006,20241014,2024-10-14,56009,ORD00056009,3246,44,4,1901.4,Changed Mind,Pending
7,RET00000007,20230723,2023-07-23,74718,ORD00074718,997,33,2,865.12,Other,Pending
8,RET00000008,20240722,2024-07-22,35642,ORD00035642,3753,28,5,3819.55,Damaged in Transit,Rejected
9,RET00000009,20221126,2022-11-26,78693,ORD00078693,4899,80,3,1778.73,Damaged in Transit,Processed
10,RET00000010,20240921,2024-09-21,91066,ORD00091066,1280,71,1,1020.56,Changed Mind,Rejected
11,RET00000011,20241013,2024-10-13,49510,ORD00049510,4052,125,3,144.63,Quality Issues,Processing
12,RET00000012,20240920,2024-09-20,32890,ORD00032890,2130,88,3,905.67,Quality Issues,Pending
13,RET00000013,20221026,2022-10-26,37102,ORD00037102,1352,129,1,137.63,Quality Issues,Pending
14,RET00000014,20231227,2023-12-27,80312,ORD00080312,2516,63,6,2411.46,Defective,Pending
15,RET00000015,20240814,2024-08-14,55082,ORD00055082,4691,126,3,2811.72,Other,Processing
16,RET00000016,20230608,2023-06-08,18300,ORD00018300,3952,91,2,1359.12,Wrong Item,Pending
17,RET00000017,20240229,2024-02-29,11262,ORD00011262,1614,3,10,3905.6,Quality Issues,Processing
18,RET00000018,20240717,2024-07-17,58577,ORD00058577,4136,83,2,161.78,Quality Issues,Processed
19,RET00000019,20240511,2024-05-11,77022,ORD00077022,3189,25,7,2447.2,Quality Issues,Rejected
20,RET00000020,20220613,2022-06-13,84920,ORD00084920,4254,160,6,4365.0,Changed Mind,Processing
21,RET00000021,20220808,2022-08-08,27873,ORD00027873,4736,5,2,426.38,Too Late,Processed
22,RET00000022,20230724,2023-07-24,84334,ORD00084334,3994,26,3,2557.38,Too Late,Processing
23,RET00000023,20240714,2024-07-14,9933,ORD00009933,159,120,1,757.45,Damaged in Transit,Processed
24,RET00000024,20240617,2024-06-17,67774,ORD00067774,1882,28,2,1354.28,Not as Described,Rejected
25,RET00000025,20231011,2023-10-11,79244,ORD00079244,3607,67,2,389.68,Quality Issues,Rejected
26,RET00000026,20241130,2024-11-30,32528,ORD00032528,3182,40,5,4609.5,Defective,Processed
27,RET00000027,20231026,2023-10-26,86170,ORD00086170,3162,120,2,1519.54,Other,Pending
28,RET00000028,20230427,2023-04-27,46525,ORD00046525,2932,125,1,47.74,Defective,Processing
29,RET00000029,20231123,2023-11-23,2592,ORD00002592,2568,86,4,2504.08,Defective,Pending
30,RET00000030,20230807,2023-08-07,44633,ORD00044633,178,51,1,448.72,Other,Processing
31,RET00000031,20240408,2024-04-08,91914,ORD00091914,4934,28,2,1413.54,Not as Described,Rejected
32,RET00000032,20220922,2022-09-22,24374,ORD00024374,918,141,1,337.25,Wrong Item,Processing
33,RET00000033,20241107,2024-11-07,10324,ORD00010324,1052,47,6,563.04,Not as Described,Processed
34,RET00000034,20231023,2023-10-23,70411,ORD00070411,453,76,1,1050.78,Other,Rejected
35,RET00000035,20231123,2023-11-23,54106,ORD00054106,4195,39,2,1398.92,Quality Issues,Rejected
36,RET00000036,20230103,2023-01-03,41351,ORD00041351,1358,57,6,4521.6,Other,Pending
37,RET00000037,20230102,2023-01-02,5144,ORD00005144,1479,70,2,1872.46,Quality Issues,Processing
38,RET00000038,20240212,2024-02-12,32387,ORD00032387,2429,128,8,2624.24,Changed Mind,Processing
39,RET00000039,20241216,2024-12-16,28186,ORD00028186,1729,81,5,2648.45,Too Late,Processed
40,RET00000040,20220916,2022-09-16,90323,ORD00090323,3955,142,3,703.17,Damaged in Transit,Pending
41,RET00000041,20230409,2023-04-09,31408,ORD00031408,4817,126,4,4206.32,Damaged in Transit,Processing
42,RET00000042,20240311,2024-03-11,4308,ORD00004308,4389,152,7,6299.3,Changed Mind,Pending
43,RET00000043,20240405,2024-04-05,63438,ORD00063438,3714,119,1,54.48,Quality Issues,Processing
44,RET00000044,20241128,2024-11-28,48537,ORD00048537,628,125,1,50.09,Not as Described,Processing
